Number,Tweet
35939,"*Dude, Erdogan will make one phone call and hordes of barbarians will start flooding your way. EU has no future."""
20,*Erdogan says Turkey may hold a public vote on whether to continue to pursue EU membership http://aje.io/c8d5  
21,"*Not only that, but look! We need not import millions of unemployable, culture murdering barbarians."
22,*failure. #eu60 
23,*So why are you importing African and Middle Eastern Barbarians who wish to destroy European civilisation.
1,"*Who will write England's eulogy, for London has fallen into the hands of barbarians..."
0,*#TerroristTurkey
3,*@V_of_Europe. Sick of the barbarians. Sick of the EU bringing them in & sick of our piss poor government not dealing with it
2,"*From Jun 2016, this reads now as a lament - Barbarians at the Gate: reflections on EU #Brexit https://aidanjmcquade.com/2016/06/21/barbarians-at-the-gate-reflections-on-the-european-union-at-the-abyss/ … via @wordpressdotcom"""
5,*Eu Ancestors fought wars to drive out Arab barbarians. (ShariaLawMuslims) Education made our men too soft & turning Europe into a 3rd world
4,*This is #FaroeIslands 
7,*...or they could consistently just turn away arriving ships. #EU thinks Being #blackmailed by #barbarians is more humane. 
6,"*They're barbarians and """"dire"""" situation . They're not Syrians they're North Africans looking to mooch off the EU government"""
9,*True. Netherlands is slaughtering thousands of pregnant cows because of EU regulations. In fact we(the Dutch) are the same barbarians.
8,*Italy brokers deal with Libyan tribes to curb migrant influx http://f24.my/11qi.t  
35933,"*Communism comes hand in hand with violence and oppression, how does the international community allow these barbarians to be appeased? """
35932,*ALLAHU AKBAR: FATHER AND SON FOUND WITH THROATS SLIT ON PARIS STREET...
35935,"*Wilders heeft de verkiezing in NL niet kunnen winnen. Ik ben opgelucht, maar we moeten verder voor een open en vrij Europa blijven vechten."""
35934,"*Notfact.cz: """"We will fight for EU open and free for islamists, killers, rapists, all-afri barbarians etc."""" (didn't) tell us @MartinSchulz."""
35937,*W EU gates are open. Barbarians are in. More entering. People are duped by leaders @EngelNaylor @MiraGhoshal @geertwilderspvv @BillionIndian
35936,"*#UK #Brexit only thing to look forward to now,get out of corrupt #EU before house of cards comes tumbling down,#Turk barbarians at the gate!"""
35931,*#EU #Islam #migrantcrisis #invaders #TrojanHorse 
35938,*Going away from Trump 's country! Hope barbarians in EU will do the same! 
35930,*Was that why Muhammed attacked #EU when he was in Medina? Muslims put the #EU into the #darkages. Not fictitious barbarians.
11,*Muslim man goes mental on woman on train because of her shoes 
10,*EU & Merkel let this shit loose on Europe. If White Europeans don't get rid of barbarians in their midst they will be living in muslim dirt. 
13,*Visegrad Nations don't want their women raped & countrymen beheaded by the 4th century barbarians. Must be Racist   
12,*#Radical #Islamic #Nigeria is d care taker of #British #Colonialism in d zoo entity #Biafrans say #No ds #Barbarians @US @EU
15,*Good bye #EU! There's no pacifism for bastards n barbarians!
14,*The European Union represents one of the great flowerings of human civilisation #EU https://aidanjmcquade.com/2016/06/21/barbarians-at-the-gate-reflections-on-the-european-union-at-the-abyss/ … via @wordpressdotcom
17,*O dia q eu comprar barbarians vão nerfar esses fdp
16,*Unbelievable. Puts you off going to Turkey on Holiday These barbarians want to come to the EU & UK???
19,*Turkey has shown itself despotic. Never addressed responsibility genocide vs Armenians. Barbarians do not belong in EU. Pamuk was right. 
18,"*a loss of sovereignty, unemployment, poverty, eastern eu criminals and an invasion of barbarians"""
35950,"*Dutch police used water canons to break up a crowd of more than 1,000 pro-#Erdogan protesters outside the Turkish consulate in #Rotterdam. """
35928,*the EU is being raped daily by hordes of barbarians  how do you reconcile being the cucks of the first world?
35929,*EU leaders are in the barbarians pockets & sold your country out from under you.
35948,"*When will EU realize that there can be no compromise, no civility and no understanding with barbarians? Cut all ties now."""
35949,*@WarphobblerKaz This occurred in a major European city. The EU has let the barbarians in and are now reaping the crop. 
35944,*http://www.theperfectpairdolphintrilogy.com  #FaroeIslands ..the land of inbred BUTCHERS! #OpKillingBay #EU #OpWhales #OpSeaWorld #Barbarians #Dolphins #Orca
35947,"*Yep, Turkey is Islamizing, then will open floodgates of barbarians onto EU."""
35940,*the EU must go their flooding countries with ruthless barbarians
35941,*@NicolaSturgeon Why would Scotland want to remain in EU only to be overrun by migrants which EU forces member nations to take? Barbarians.
35942,*Are EU country's leaders waiting for citizens to take matters into their own hands to protect themselves against these barbarians?
35943,"*Bloody barbarians, savages! Send this to the EU Ambassador to Nigeria. GRR!!! This MUST STOP! NO women should suffer"""
